name_ja,id,country,color,note
ホンダ,honda,日本,#c62a1f,1959年GP参戦。最高峰で最多級のタイトル
ヤマハ,yamaha,日本,#2b5f9e,1961年GP参戦。2ストで初の最高峰王座（1975年）
スズキ,suzuki,日本,#3b8fd6,2022年限りで撤退
カワサキ,kawasaki,日本,#2f9a4a,MotoGPは2008年まで
ドゥカティ,ducati,イタリア,#e0442c,2003年MotoGP参戦。2020年代の最強メーカー
アプリリア,aprilia,イタリア,#222222,中・小排気量の強豪。2015年からMotoGP本格参戦
KTM,ktm,オーストリア,#f08a00,2017年MotoGP参戦
MVアグスタ,mv-agusta,イタリア,#6d4a9a,1950〜70年代の最高峰の覇者
ジレラ,gilera,イタリア,#b3771f,1950年代の最高峰で活躍
カレックス,kalex,ドイツ,#555555,Moto2のシャシーメーカー
デルビ,derbi,スペイン,#9a2f6d,小排気量の名門
プロトンKR,proton-kr,英国/米国,#6b4f2a,ケニー・ロバーツ率いるチームKRの自社製マシン
モリワキ,moriwaki,日本,#8c1d1d,モリワキエンジニアリング。MotoGPはホンダ製エンジン搭載車で参戦
WCM,wcm,英国,#4a5a6a,英国のプライベートチーム兼コンストラクター
ブラタ,blata,チェコ,#3a7a3a,チェコのメーカー。2005年にWCMと組んで参戦
イルモア,ilmor,英国,#2b2b6b,F1エンジンでも知られるイルモア。2006〜07年参戦
BMW,bmw,ドイツ,#1c69d4,CRT期にスーターなどのシャシーへエンジンを供給（S1000RRベース）
その他（CRT等）,other,—,#888888,CRT／Open期の市販車ベース・独自シャシー車など。詳細は要確認
ズッター,suter,スイス,#b22b2b,Moto2初期の有力シャシー。2012年マルク・マルケスが王座
スピードアップ,speed-up,イタリア,#d4a017,Moto2のシャシー。2021年からボスコスクーロ名義
ボスコスクーロ,boscoscuro,イタリア,#e0b000,旧スピードアップ。2024年小椋藍がMoto2王座
テック3,tech3-chassis,フランス,#1f3d7a,テック3自製のMoto2シャシー（〜2018年）
モトビ,motobi,イタリア,#7a5a2b,"JiRのMoto2シャシー（TSR製）<span class=""chk"">要確認</span>"
FTR,ftr,英国,#4b6b8a,英国のシャシーメーカー。Moto2・Moto3初期
MZ,mz,ドイツ,#3a5a3a,旧東独の名門。Moto2はMZ-RE
ハスクバーナ,husqvarna,スウェーデン,#1a3a6a,KTM傘下。Moto3に参戦
マヒンドラ,mahindra,インド,#b83232,2011〜17年にMoto3（125cc）参戦
ガスガス,gasgas,スペイン,#c8102e,KTM傘下。Moto3に参戦
CFMoto,cfmoto,中国,#1e90ff,中国メーカー。Moto3に参戦
不明,unknown,—,#bbbbbb,車両メーカー未確認の参戦記録
マラグーティ,malaguti,イタリア,#5a7d2b,125ccに参戦したイタリアのメーカー
ローンチン,loncin,中国,#b0302a,中国のメーカー。2000年代に125ccへ参戦
イタルジェット,italjet,イタリア,#2a6fb0,イタリアのメーカー。125ccに参戦
ファンティック,fantic,イタリア,#e05a1a,イタリアのメーカー
セール,seel,—,#777777,公式リザルト上の表記「Seel」
ハオジュエ,haojue,中国,#aa2233,中国のメーカー
セイバー,sabre,英国,#556677,公式リザルト上の表記「Sabre V4」
ROCヤマハ,roc-yamaha,フランス,#3a5f9e,ROC製車体にヤマハのエンジン
TSR,tsr,日本,#224488,テクニカル・スポーツ・レーシング（鈴鹿）
FGR,fgr,—,#666666,公式リザルト上の表記「FGR」
フリバ,friba,—,#888888,公式リザルト上の表記「Friba」
ポンス・カレックス,pons-kalex,スペイン/ドイツ,#888888,公式表記「Pons Kalex」（2010〜11年Moto2）
ICP,icp,イタリア,#888888,公式表記「I.C.P.」
RSV,rsv,—,#888888,公式表記「RSV」
ビモータ,bimota,イタリア,#888888,イタリアのコンストラクター。Moto2に参戦
プロモハリス,promoharris,英国,#888888,公式表記「Promoharris」
ADV,adv,—,#888888,公式表記「ADV」
BQR,bqr,スペイン,#888888,ブルー・ミッショネス／BQR（CRT・Moto2）
BQR-FTR,bqr-ftr,スペイン,#888888,公式表記「BQR-FTR」
フォースGP210,force-gp210,—,#888888,公式表記「Force GP210」
MZ-FTR,mz-ftr,—,#888888,公式表記「MZ FTR」
AJR,ajr,スペイン,#888888,公式表記「AJR」
MIRレーシング,mir-racing,スペイン,#888888,公式表記「MIR Racing」
MIRホンダ,mir-honda,スペイン,#888888,公式表記「MIR Honda」
