name,info,note
マン島TT,英国｜1949–76,1周約60kmの公道コース。選手権初戦の舞台だが、死亡事故の多さから除外
アッセン（ダッチTT）,オランダ｜1949–,選手権開始から毎年開催（2020年を除く）。「ライダーの大聖堂」
スパ・フランコルシャン,ベルギー｜旧コース,約14kmの高速公道コース。安全問題で撤退
ムジェロ,イタリア｜1976–,長い直線と高速コーナー。最高速記録の舞台。イタリアファンの聖地
ヘレス,スペイン｜1987–,欧州ラウンドの開幕地となることが多い。最終コーナーで数々の接触劇
鈴鹿サーキット,日本｜1963–2003,8の字の立体交差コース。2003年を最後にGPから撤退
モビリティリゾートもてぎ,日本｜1999–,ストップ＆ゴー型のコース。ブレーキ性能が勝負
フィリップアイランド,豪州｜1989–90、1997–,海沿いの高速コース。天候の急変が名物
ラグナセカ,米国｜1988–94、2005–13,名物の急坂コーナー「コークスクリュー」
ザクセンリンク,ドイツ｜1998–,左コーナー主体。マルケスが長く連勝した舞台
セパン,マレーシア｜1999–,高温多湿でタイヤとライダーに過酷。テストの定番地
ロサイル,カタール｜2004–,2008年から照明下のナイトレース
ミサノ,サンマリノ｜2007–,2012年から故シモンチェリの名を冠した名称に
