name,class,maker,years,engine,note
ノートン・マンクス,最高峰,ノートン,1950年代,空冷4スト単気筒,英国単気筒の代表格。フェザーベッド・フレームで操縦性に優れ、プライベーターの定番
ジレラ 500 4気筒,最高峰,ジレラ,1950年代,4スト直列4気筒,現代まで続く「直4レーサー」の原点。デュークが1953〜55年に3連覇
モトグッツィ V8,最高峰,モトグッツィ,1955–57,4スト V型8気筒,500ccでV8という極端な設計。最高速は群を抜いたが信頼性に課題。撤退で幻に
MVアグスタ 500 3気筒,最高峰,MVアグスタ,1966–76,4スト直列3気筒,アゴスチーニとともに500ccを7連覇。4スト最後の黄金期
ヤマハ YZR500（OW系）,最高峰,ヤマハ,1973–,2スト直列4気筒→V4,1975年2スト初の最高峰王座。ロバーツ、ローソン、レイニーが王座
スズキ RG500,最高峰,スズキ,1974–,2スト スクエア4,シーンが1976〜77年に連覇。市販版も販売され、グリッドの大半を占めた時期も
ホンダ NR500,最高峰,ホンダ,1979–81,4スト楕円ピストンV4,2ストに4ストで挑んだ意欲作。1気筒8バルブの楕円ピストン。勝利なく2ストへ転換
ホンダ NS500,最高峰,ホンダ,1982–84,2スト V型3気筒,軽さと扱いやすさで勝負。1983年スペンサーが王座
ホンダ NSR500,最高峰,ホンダ,1984–2002,2スト V型4気筒,1992年ビッグバン採用。ドゥーハン5連覇、ロッシ最後の500cc王座
スズキ RGV-Γ500,最高峰,スズキ,1987–2001,2スト V型4気筒,シュワンツ1993年、ロバーツJr. 2000年に王座
ホンダ RC211V,最高峰,ホンダ,2002–06,4スト V型5気筒 990cc,MotoGP初代王者マシン。ロッシ（2002〜03）、ヘイデン（2006）
ヤマハ YZR-M1,最高峰,ヤマハ,2002–,4スト直列4気筒,2004年クロスプレーン化。ロッシ、ロレンソ、クアルタラロが王座
ドゥカティ デスモセディチ GP7,最高峰,ドゥカティ,2007,4スト V型4気筒 800cc,デスモドロミックと高い最高速。ストーナーがドゥカティ初の最高峰王座
ホンダ RC212V,最高峰,ホンダ,2007–11,4スト V型4気筒 800cc,2011年ストーナーが王座。800cc最後のチャンピオンマシン
ホンダ RC213V,最高峰,ホンダ,2012–,4スト V型4気筒 1000cc,マルケスと6度の王座。2020年代は低迷
スズキ GSX-RR,最高峰,スズキ,2015–22,4スト直列4気筒,扱いやすさ重視。2020年ミルが王座、2022年撤退
ドゥカティ デスモセディチ GP22–GP25,最高峰,ドゥカティ,2022–,4スト V型4気筒,空力・車高調整装置の先駆者。バニャイア、マルティン、マルケスで4年連続王座
アプリリア RS-GP,最高峰,アプリリア,2015–,4スト V型4気筒,2022年に初優勝。コンセッションを経て上位常連に
KTM RC16,最高峰,KTM,2017–,4スト V型4気筒,鋼管トレリスフレームを貫いた異色の設計。2020年に初優勝
ホンダ RC166,中間,ホンダ,1966–67,4スト 並列6気筒 250cc,250ccで6気筒・超高回転。ヘイルウッドが連覇
ヤマハ TZ250,中間,ヤマハ,1973–,2スト 2気筒（市販レーサー）,誰でも買えるレーサーとして250ccのグリッドを支えた
ホンダ NSR250,中間,ホンダ,1985–2009,2スト V型2気筒,スペンサー、ポンス、加藤大治郎、ペドロサ、青山博一らが王座
アプリリア RSV250／RSA250,中間,アプリリア,1990年代–2009,2スト V型2気筒,ビアッジ、ロッシ、ロレンソらが王座。250cc後期の最強マシン
カレックス Moto2,中間,カレックス,2011–,トライアンフ765cc（2019–）,ドイツのシャシーメーカー。Moto2王座の大半を獲得
ホンダ RC149,入門,ホンダ,1966,4スト 並列5気筒 125cc,125ccで5気筒という極端な多気筒化の象徴
ホンダ RS125R,入門,ホンダ,1980年代–,2スト単気筒（市販レーサー）,"坂田、青木ら日本人王者を含む多くの若手を育てた <span class=""chk"">要確認</span>"
アプリリア RS125／RSA125,入門,アプリリア,1990年代–2011,2スト単気筒,坂田和人、ロッシら。125cc後期の主力
KTM RC250GP,入門,KTM,2012–,4スト 250cc単気筒,Moto3初年度から王座を獲得した主力マシン
ホンダ NSF250RW,入門,ホンダ,2014–,4スト 250cc単気筒,ミル、マルティンらが王座
スズキ RK67,50/80cc,スズキ,1967,2スト 2気筒 50cc・14速,変速段数制限前の極致。狭いパワーバンドを14速で使い切る
ホンダ RC116,50/80cc,ホンダ,1966,4スト 2気筒 50cc,50ccの4ストで超高回転。多気筒化競争の象徴
クライドラー 50,50/80cc,クライドラー,1970年代,2スト単気筒,ドイツの小排気量メーカー。ニエトらが王座
デルビ 80,50/80cc,デルビ,1986–89,2スト単気筒 80cc,「アスパル」マルティネスが3連覇
エネルジカ Ego Corsa,MotoE,エネルジカ,2019–22,電動,MotoE初期のワンメイク車
ドゥカティ V21L,MotoE,ドゥカティ,2023–25,電動,MotoE世界選手権のワンメイク車
