year,race,who,note
1983,スウェーデンGP（アンダーストープ）,スペンサー vs ロバーツ,最終盤の最終コーナーでスペンサーが強引に前へ。この勝利が王座を決定づけ、ホンダ2スト初の最高峰タイトルに
1991,ドイツGP（ホッケンハイム）,シュワンツ vs レイニー,最終ラップの長いストレートからのブレーキング勝負。シュワンツが後輪を浮かせながら大外から抜き去った伝説の一戦
2004,南アフリカGP（ウェルコム）,ロッシ vs ビアッジ,王者ロッシがホンダからヤマハへ移籍した初戦で勝利。「勝てるのはマシンではなくライダー」を証明
2006,ポルトガルGP（エストリル）,エリアス vs ロッシ,0.002秒差でエリアスが初優勝。タイトル争いを最終戦まで持ち越させた
2006,バレンシアGP,ヘイデン vs ロッシ,ロッシが序盤に転倒し、ヘイデンが逆転王座。MotoGP屈指の劇的な最終戦
2008,アメリカGP（ラグナセカ）,ロッシ vs ストーナー,名物コーナー「コークスクリュー」でロッシがコース外の砂利をかすめて抜いた一撃
2009,カタルーニャGP,ロッシ vs ロレンソ,チームメイト対決。最終コーナーでロッシが誰も試みなかった位置から抜き去る
2015,マレーシアGP（セパン）,ロッシ vs マルケス,接触でマルケスが転倒し、ロッシは最終戦最後尾スタートのペナルティ。ロレンソが王座を獲得し、大論争に
2019,イギリスGP（シルバーストン）,リンス vs マルケス,最終ラップの最終コーナーで逆転、0.013秒差でリンスが勝利。スズキ最後期の輝き
2024,ソリダリティGP（バルセロナ）,マルティン vs バニャイア,最終戦でマルティンが3位完走し王座確定。MotoGP時代初のサテライトチーム王者
